"Provisional weekly death counts, by age group and sex c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
"Frequency: Weekly"
"Table: 13-10-0768-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Age at time of death","Age at time of death, all ages 18",,
,"Sex","Both sexes 19","Males","Females"
,"Characteristics 17","Number of deaths","Number of deaths","Number of deaths"
"Geography, place of occurrence 16","Reference period"
,,"Number",,
,"April 4, 2015","110","65","45"
,"April 11, 2015","105","60","45"
,"April 18, 2015","95","50","45"
,"April 25, 2015","90","45","45"
,"May 2, 2015","100","45","55"
,"May 9, 2015","80","45","35"
,"May 16, 2015","115","55","60"
,"May 23, 2015","110","50","60"
,"May 30, 2015","100","55","45"
,"June 6, 2015","110","60","50"
,"June 13, 2015","110","60","50"
,"June 20, 2015","85","45","40"
,"June 27, 2015","100","50","50"
,"July 4, 2015","90","50","40"
,"July 11, 2015","90","55","35"
,"July 18, 2015","85","40","45"
,"July 25, 2015","75","40","35"
,"August 1, 2015","70","40","30"
,"August 8, 2015","110","65","45"
,"August 15, 2015","95","45","50"
,"August 22, 2015","105","45","60"
,"August 29, 2015","70","30","40"
,"September 5, 2015","80","35","45"
,"September 12, 2015","90","35","55"
,"September 19, 2015","100","50","50"
,"September 26, 2015","95","45","50"
,"October 3, 2015","85","50","35"
,"October 10, 2015","100","55","45"
,"October 17, 2015","95","50","45"
,"October 24, 2015","90","50","40"
,"October 31, 2015","90","45","45"
,"November 7, 2015","95","50","45"
,"November 14, 2015","100","60","40"
,"November 21, 2015","100","50","50"
,"November 28, 2015","105","60","45"
,"December 5, 2015","100","45","55"
,"December 12, 2015","105","65","40"
,"December 19, 2015","80","35","45"
,"December 26, 2015","100","55","45"
,"January 2, 2016","110","60","50"
,"January 9, 2016","115","55","60"
,"January 16, 2016","110","55","55"
,"January 23, 2016","110","55","55"
,"January 30, 2016","80","40","40"
,"February 6, 2016","90","45","45"
,"February 13, 2016","85","40","45"
,"February 20, 2016","90","55","35"
,"February 27, 2016","110","65","45"
,"March 5, 2016","100","55","45"
,"March 12, 2016","85","45","40"
,"March 19, 2016","90","50","40"
,"March 26, 2016","95","45","50"
,"April 2, 2016","105","65","40"
,"April 9, 2016","115","55","60"
,"April 16, 2016","100","45","55"
,"April 23, 2016","100","55","45"
,"April 30, 2016","100","50","50"
,"May 7, 2016","120","65","55"
,"May 14, 2016","95","45","50"
,"May 21, 2016","90","60","30"
,"May 28, 2016","95","55","40"
,"June 4, 2016","105","60","45"
,"June 11, 2016","100","50","50"
,"June 18, 2016","90","45","45"
,"June 25, 2016","100","60","40"
,"July 2, 2016","80","40","40"
,"July 9, 2016","100","55","45"
,"July 16, 2016","70","25","45"
,"July 23, 2016","75","40","35"
,"July 30, 2016","85","40","45"
,"August 6, 2016","85","45","40"
,"August 13, 2016","105","55","50"
,"August 20, 2016","90","50","40"
,"August 27, 2016","100","55","45"
,"September 3, 2016","90","40","50"
,"September 10, 2016","70","25","45"
,"September 17, 2016","85","45","40"
,"September 24, 2016","90","40","50"
,"October 1, 2016","100","50","50"
,"October 8, 2016","95","50","45"
,"October 15, 2016","85","45","40"
,"October 22, 2016","105","60","45"
,"October 29, 2016","95","55","40"
,"November 5, 2016","95","45","50"
,"November 12, 2016","105","50","55"
,"November 19, 2016","95","45","50"
,"November 26, 2016","110","65","45"
,"December 3, 2016","75","30","45"
,"December 10, 2016","100","55","45"
,"December 17, 2016","105","55","50"
,"December 24, 2016","110","65","45"
,"December 31, 2016","95","65","30"
,"January 7, 2017","130","65","65"
,"January 14, 2017","100","50","50"
,"January 21, 2017","125","65","60"
,"January 28, 2017","110","45","55"
,"February 4, 2017","95","50","50"
,"February 11, 2017","105","35","70"
,"February 18, 2017","115","65","50"
,"February 25, 2017","100","50","50"
,"March 4, 2017","110","60","50"
,"March 11, 2017","125","60","65"
,"March 18, 2017","105","55","50"
,"March 25, 2017","110","55","55"
,"April 1, 2017","100","50","50"
