"Provisional weekly death counts, by age group and sex c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
"Frequency: Weekly"
"Table: 13-10-0768-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Age at time of death","Age at time of death, all ages 18",,
,"Sex","Both sexes 19","Males","Females"
,"Characteristics 17","Number of deaths","Number of deaths","Number of deaths"
"Geography, place of occurrence 16","Reference period"
,,"Number",,
,"November 30, 2013","185","110","75"
,"December 7, 2013","190","100","90"
,"December 14, 2013","185","90","95"
,"December 21, 2013","190","100","90"
,"December 28, 2013","230","120","110"
,"January 4, 2014","200","110","90"
,"January 11, 2014","245","120","125"
,"January 18, 2014","220","130","90"
,"January 25, 2014","225","110","115"
,"February 1, 2014","225","115","110"
,"February 8, 2014","210","105","105"
,"February 15, 2014","200","110","90"
,"February 22, 2014","215","105","110"
,"March 1, 2014","210","115","95"
,"March 8, 2014","225","100","125"
,"March 15, 2014","225","115","110"
,"March 22, 2014","205","100","105"
,"March 29, 2014","235","105","130"
,"April 5, 2014","205","95","110"
,"April 12, 2014","205","100","105"
,"April 19, 2014","205","105","100"
,"April 26, 2014","200","100","100"
,"May 3, 2014","210","105","105"
,"May 10, 2014","190","95","95"
,"May 17, 2014","195","105","90"
,"May 24, 2014","205","120","85"
,"May 31, 2014","200","110","90"
,"June 7, 2014","215","100","115"
,"June 14, 2014","195","110","85"
,"June 21, 2014","185","95","90"
,"June 28, 2014","190","100","90"
,"July 5, 2014","200","120","80"
,"July 12, 2014","180","95","85"
,"July 19, 2014","190","100","90"
,"July 26, 2014","180","95","85"
,"August 2, 2014","185","95","90"
,"August 9, 2014","165","85","80"
,"August 16, 2014","160","80","80"
,"August 23, 2014","195","85","110"
,"August 30, 2014","200","95","105"
,"September 6, 2014","200","105","95"
,"September 13, 2014","205","110","95"
,"September 20, 2014","235","100","135"
,"September 27, 2014","205","105","100"
,"October 4, 2014","175","85","90"
,"October 11, 2014","180","90","90"
,"October 18, 2014","240","110","130"
,"October 25, 2014","205","105","100"
,"November 1, 2014","215","95","120"
,"November 8, 2014","215","115","100"
,"November 15, 2014","190","85","105"
,"November 22, 2014","200","105","95"
,"November 29, 2014","230","115","115"
,"December 6, 2014","225","115","110"
,"December 13, 2014","205","105","100"
,"December 20, 2014","220","115","105"
,"December 27, 2014","240","120","120"
,"January 3, 2015","235","110","125"
,"January 10, 2015","330","150","180"
,"January 17, 2015","280","130","150"
,"January 24, 2015","275","135","140"
,"January 31, 2015","215","95","120"
,"February 7, 2015","210","95","115"
,"February 14, 2015","215","115","100"
,"February 21, 2015","235","115","120"
,"February 28, 2015","225","125","100"
,"March 7, 2015","225","110","115"
,"March 14, 2015","190","95","95"
,"March 21, 2015","190","100","90"
,"March 28, 2015","215","105","110"
,"April 4, 2015","210","105","105"
,"April 11, 2015","215","95","120"
,"April 18, 2015","225","110","115"
,"April 25, 2015","180","85","95"
,"May 2, 2015","205","115","90"
,"May 9, 2015","215","105","110"
,"May 16, 2015","235","120","115"
,"May 23, 2015","205","110","95"
,"May 30, 2015","170","90","80"
,"June 6, 2015","180","80","100"
,"June 13, 2015","165","90","75"
,"June 20, 2015","185","85","100"
,"June 27, 2015","225","100","125"
,"July 4, 2015","210","105","105"
,"July 11, 2015","185","95","90"
,"July 18, 2015","190","95","95"
,"July 25, 2015","195","95","100"
,"August 1, 2015","200","100","100"
,"August 8, 2015","150","80","70"
,"August 15, 2015","185","85","100"
,"August 22, 2015","180","85","95"
,"August 29, 2015","180","90","90"
,"September 5, 2015","185","95","90"
,"September 12, 2015","190","90","100"
,"September 19, 2015","215","110","105"
,"September 26, 2015","220","110","110"
,"October 3, 2015","180","85","95"
,"October 10, 2015","185","100","85"
,"October 17, 2015","185","90","95"
,"October 24, 2015","215","105","110"
,"October 31, 2015","195","85","110"
,"November 7, 2015","205","110","95"
,"November 14, 2015","205","110","95"
,"November 21, 2015","190","90","100"
,"November 28, 2015","195","105","90"
,"December 5, 2015","205","100","105"
,"December 12, 2015","205","100","105"
,"December 19, 2015","180","100","80"
,"December 26, 2015","205","90","115"
,"January 2, 2016","205","100","105"
,"January 9, 2016","190","90","100"
,"January 16, 2016","215","120","95"
,"January 23, 2016","185","95","90"
,"January 30, 2016","215","95","120"
,"February 6, 2016","235","115","120"
,"February 13, 2016","205","90","115"
,"February 20, 2016","190","105","85"
,"February 27, 2016","220","100","120"
,"March 5, 2016","240","120","120"
,"March 12, 2016","240","115","125"
,"March 19, 2016","240","110","130"
,"March 26, 2016","225","110","115"
,"April 2, 2016","210","110","100"
,"April 9, 2016","215","125","90"
,"April 16, 2016","210","110","100"
,"April 23, 2016","200","110","90"
,"April 30, 2016","200","105","95"
,"May 7, 2016","195","90","105"
,"May 14, 2016","170","75","95"
,"May 21, 2016","185","105","80"
,"May 28, 2016","195","90","105"
,"June 4, 2016","185","105","80"
,"June 11, 2016","190","95","95"
,"June 18, 2016","215","110","105"
,"June 25, 2016","200","115","85"
,"July 2, 2016","185","85","100"
,"July 9, 2016","205","110","95"
,"July 16, 2016","205","105","100"
,"July 23, 2016","185","95","90"
,"July 30, 2016","175","95","80"
,"August 6, 2016","195","95","100"
,"August 13, 2016","175","80","95"
,"August 20, 2016","205","95","110"
,"August 27, 2016","205","110","95"
,"September 3, 2016","200","85","115"
,"September 10, 2016","175","85","90"
,"September 17, 2016","225","110","115"
,"September 24, 2016","195","95","100"
,"October 1, 2016","190","90","100"
,"October 8, 2016","225","125","100"
,"October 15, 2016","205","110","95"
,"October 22, 2016","220","115","105"
,"October 29, 2016","235","115","120"
,"November 5, 2016","205","120","85"
,"November 12, 2016","195","95","100"
,"November 19, 2016","225","110","115"
,"November 26, 2016","190","90","100"
,"December 3, 2016","215","120","95"
,"December 10, 2016","205","100","105"
,"December 17, 2016","240","115","125"
,"December 24, 2016","235","125","110"
,"December 31, 2016","215","115","100"
,"January 7, 2017","225","115","110"
,"January 14, 2017","255","140","115"
,"January 21, 2017","215","120","100"
,"January 28, 2017","230","120","110"
,"February 4, 2017","245","110","130"
,"February 11, 2017","250","130","120"
,"February 18, 2017","215","95","115"
,"February 25, 2017","215","115","105"
,"March 4, 2017","245","120","125"
,"March 11, 2017","250","135","115"
,"March 18, 2017","205","120","85"
,"March 25, 2017","220","95","120"
,"April 1, 2017","195","95","100"
,"April 8, 2017","235","95","135"
,"April 15, 2017","235","110","125"
,"April 22, 2017","210","115","100"
,"April 29, 2017","215","100","120"
,"May 6, 2017","235","130","100"
,"May 13, 2017","210","100","110"
,"May 20, 2017","200","115","90"
,"May 27, 2017","210","110","100"
,"June 3, 2017","195","100","90"
,"June 10, 2017","185","100","85"
,"June 17, 2017","195","90","105"
,"June 24, 2017","160","90","75"
,"July 1, 2017","215","95","115"
,"July 8, 2017","190","105","80"
,"July 15, 2017","190","100","90"
,"July 22, 2017","205","105","100"
,"July 29, 2017","205","95","110"
,"August 5, 2017","200","110","90"
,"August 12, 2017","200","95","100"
,"August 19, 2017","190","100","85"
,"August 26, 2017","185","90","90"
,"September 2, 2017","200","115","95"
,"September 9, 2017","210","90","115"
,"September 16, 2017","195","100","100"
,"September 23, 2017","200","100","100"
,"September 30, 2017","175","90","85"
,"October 7, 2017","200","95","105"
,"October 14, 2017","205","115","95"
,"October 21, 2017","235","130","105"
,"October 28, 2017","245","115","130"
,"November 4, 2017","235","115","125"
,"November 11, 2017","235","120","115"
,"November 18, 2017","215","100","115"
,"November 25, 2017","185","95","90"
,"December 2, 2017","225","110","115"
,"December 9, 2017","220","110","110"
,"December 16, 2017","215","110","105"
,"December 23, 2017","200","100","105"
,"December 30, 2017","240","130","110"
,"January 6, 2018","280","135","135"
,"January 13, 2018","270","120","150"
,"January 20, 2018","270","120","150"
,"January 27, 2018","230","120","110"
,"February 3, 2018","235","115","120"
,"February 10, 2018","205","110","95"
,"February 17, 2018","255","125","125"
,"February 24, 2018","245","115","130"
,"March 3, 2018","240","120","120"
,"March 10, 2018","240","130","110"
,"March 17, 2018","220","95","125"
,"March 24, 2018","185","90","95"
,"March 31, 2018","215","110","100"
,"April 7, 2018","215","105","105"
,"April 14, 2018","205","105","105"
,"April 21, 2018","190","100","90"
,"April 28, 2018","210","105","110"
,"May 5, 2018","210","100","110"
,"May 12, 2018","190","95","95"
,"May 19, 2018","190","100","95"
,"May 26, 2018","225","120","105"
,"June 2, 2018","185","90","95"
,"June 9, 2018","210","105","110"
,"June 16, 2018","185","95","85"
,"June 23, 2018","200","110","95"
,"June 30, 2018","190","100","90"
,"July 7, 2018","175","100","80"
,"July 14, 2018","205","95","105"
,"July 21, 2018","195","110","90"
,"July 28, 2018","190","95","95"
,"August 4, 2018","170","75","95"
,"August 11, 2018","185","100","85"
,"August 18, 2018","205","100","105"
,"August 25, 2018","195","100","95"
,"September 1, 2018","195","100","90"
,"September 8, 2018","225","110","115"
,"September 15, 2018","185","95","90"
,"September 22, 2018","205","100","100"
,"September 29, 2018","200","100","100"
,"October 6, 2018","210","120","90"
,"October 13, 2018","235","120","115"
,"October 20, 2018","215","115","95"
,"October 27, 2018","245","115","125"
,"November 3, 2018","215","120","95"
,"November 10, 2018","200","95","100"
,"November 17, 2018","200","105","90"
,"November 24, 2018","185","85","100"
,"December 1, 2018","230","120","115"
,"December 8, 2018","215","105","115"
,"December 15, 2018","215","110","110"
,"December 22, 2018","230","130","105"
,"December 29, 2018","195","95","100"
,"January 5, 2019","235","115","120"
,"January 12, 2019","250","125","130"
,"January 19, 2019","205","110","90"
,"January 26, 2019","220","120","100"
,"February 2, 2019","220","110","110"
,"February 9, 2019","215","110","110"
,"February 16, 2019","205","105","100"
,"February 23, 2019","235","115","120"
,"March 2, 2019","220","115","105"
,"March 9, 2019","200","90","110"
,"March 16, 2019","225","110","115"
,"March 23, 2019","220","115","110"
,"March 30, 2019","205","105","100"
,"April 6, 2019","235","130","105"
,"April 13, 2019","225","120","105"
,"April 20, 2019","220","95","115"
,"April 27, 2019","225","120","105"
,"May 4, 2019","200","105","95"
,"May 11, 2019","205","100","115"
,"May 18, 2019","230","110","120"
,"May 25, 2019","205","115","85"
,"June 1, 2019","200","100","100"
,"June 8, 2019","230","125","105"
,"June 15, 2019","180","100","85"
,"June 22, 2019","210","105","110"
,"June 29, 2019","210","115","100"
,"July 6, 2019","180","95","80"
,"July 13, 2019","215","110","105"
,"July 20, 2019","175","95","80"
,"July 27, 2019","215","110","100"
,"August 3, 2019","195","100","95"
,"August 10, 2019","210","100","105"
,"August 17, 2019","200","105","95"
,"August 24, 2019","200","110","95"
,"August 31, 2019","195","110","85"
,"September 7, 2019","215","105","110"
,"September 14, 2019","210","115","95"
,"September 21, 2019","205","110","95"
,"September 28, 2019","210","115","95"
,"October 5, 2019","225","115","110"
,"October 12, 2019","205","115","90"
,"October 19, 2019","235","120","115"
,"October 26, 2019","205","100","105"
,"November 2, 2019","245","125","120"
,"November 9, 2019","205","100","105"
,"November 16, 2019","205","120","90"
,"November 23, 2019","215","90","120"
,"November 30, 2019","210","95","115"
,"December 7, 2019","235","105","130"
,"December 14, 2019","235","115","115"
,"December 21, 2019","245","155","90"
,"December 28, 2019","250","125","120"
,"January 4, 2020","255","125","130"
,"January 11, 2020","260","115","140"
,"January 18, 2020","280","145","135"
,"January 25, 2020","235","100","135"
,"February 1, 2020","235","125","105"
,"February 8, 2020","225","105","120"
,"February 15, 2020","180","95","80"
,"February 22, 2020","215","105","115"
,"February 29, 2020","220","105","110"
,"March 7, 2020","210","110","100"
,"March 14, 2020","230","120","110"
,"March 21, 2020","215","120","90"
,"March 28, 2020","205","95","110"
,"April 4, 2020","220","105","115"
,"April 11, 2020","210","95","110"
,"April 18, 2020","240","110","130"
,"April 25, 2020","210","105","105"
,"May 2, 2020","240","125","115"
,"May 9, 2020","205","110","95"
,"May 16, 2020","230","125","105"
,"May 23, 2020","190","105","85"
,"May 30, 2020","185","90","95"
,"June 6, 2020","205","110","100"
,"June 13, 2020","190","115","80"
,"June 20, 2020","200","105","100"
,"June 27, 2020","220","120","95"
,"July 4, 2020","185","85","100"
,"July 11, 2020","215","115","100"
,"July 18, 2020","215","110","105"
,"July 25, 2020","200","115","85"
,"August 1, 2020","200","95","100"
,"August 8, 2020","205","105","95"
,"August 15, 2020","240","130","110"
,"August 22, 2020","220","125","95"
,"August 29, 2020","200","105","95"
,"September 5, 2020","205","100","100"
,"September 12, 2020","220","110","105"
,"September 19, 2020","230","120","105"
,"September 26, 2020","220","110","110"
,"October 3, 2020","205","110","95"
,"October 10, 2020","220","105","110"
,"October 17, 2020","215","110","105"
,"October 24, 2020","230","115","115"
,"October 31, 2020","245","110","135"
,"November 7, 2020","270","135","140"
,"November 14, 2020","285","150","135"
,"November 21, 2020","270","150","125"
,"November 28, 2020","290","140","155"
,"December 5, 2020","325","160","170"
,"December 12, 2020","290","150","145"
,"December 19, 2020","260","125","130"
,"December 26, 2020","280","135","150"
,"January 2, 2021","250","125","125"
,"January 9, 2021","245","115","135"
,"January 16, 2021","220","125","90"
,"January 23, 2021","245","125","120"
,"January 30, 2021","250","125","125"
,"February 6, 2021","245","140","105"
,"February 13, 2021","225","120","105"
,"February 20, 2021","210","110","100"
,"February 27, 2021","245","150","95"
,"March 6, 2021","230","105","125"
,"March 13, 2021","215","110","105"
,"March 20, 2021","200","95","95"
,"March 27, 2021","200","110","95"
,"April 3, 2021","195","100","95"
,"April 10, 2021","200","105","90"
,"April 17, 2021","200","95","105"
,"April 24, 2021","195","100","95"
,"May 1, 2021","195","100","95"
,"May 8, 2021","235","125","115"
,"May 15, 2021","220","120","100"
,"May 22, 2021","220","125","100"
,"May 29, 2021","215","120","95"
,"June 5, 2021","260","135","125"
,"June 12, 2021","210","115","95"
,"June 19, 2021","235","130","110"
,"June 26, 2021","210","120","90"
,"July 3, 2021","180","90","85"
,"July 10, 2021","190","100","90"
,"July 17, 2021","215","125","95"
,"July 24, 2021","200","110","90"
,"July 31, 2021","230","120","110"
,"August 7, 2021","220","125","95"
,"August 14, 2021","225","125","105"
,"August 21, 2021","230","115","110"
,"August 28, 2021","225","115","115"
,"September 4, 2021","235","120","110"
,"September 11, 2021","225","105","115"
,"September 18, 2021","185","95","95"
,"September 25, 2021","215","125","100"
,"October 2, 2021","190","105","90"
,"October 9, 2021","235","125","110"
,"October 16, 2021","185","100","85"
,"October 23, 2021","210","120","90"
,"October 30, 2021","240","135","105"
,"November 6, 2021","220","115","105"
,"November 13, 2021","245","135","110"
,"November 20, 2021","240","135","110"
,"November 27, 2021","260","145","120"
,"December 4, 2021","275","145","135"
,"December 11, 2021","230","125","105"
,"December 18, 2021","225","120","105"
,"December 25, 2021","245","130","115"
,"January 1, 2022","255","135","125"
,"January 8, 2022","260","140","120"
,"January 15, 2022","340","185","155"
,"January 22, 2022","300","165","135"
,"January 29, 2022","285","150","135"
,"February 5, 2022","295","160","135"
,"February 12, 2022","255","150","110"
,"February 19, 2022","255","140","110"
,"February 26, 2022","215","105","110"
,"March 5, 2022","225","120","110"
,"March 12, 2022","235","120","120"
,"March 19, 2022","235","120","110"
,"March 26, 2022","225","125","100"
,"April 2, 2022","..","..",".."
,"April 9, 2022","..","..",".."
,"April 16, 2022","..","..",".."
,"April 23, 2022","..","..",".."
,"April 30, 2022","..","..",".."
,"May 7, 2022","..","..",".."
,"May 14, 2022","..","..",".."
,"May 21, 2022","..","..",".."
,"May 28, 2022","..","..",".."
,"June 4, 2022","..","..",".."
,"June 11, 2022","..","..",".."
,"June 18, 2022","..","..",".."
,"June 25, 2022","..","..",".."
,"July 2, 2022","..","..",".."
,"July 9, 2022","..","..",".."
,"July 16, 2022","..","..",".."
,"July 23, 2022","..","..",".."
,"July 30, 2022","..","..",".."
,"August 6, 2022","..","..",".."
,"August 13, 2022","..","..",".."
,"August 20, 2022","..","..",".."
,"August 27, 2022","..","..",".."
,"September 3, 2022","..","..",".."
,"September 10, 2022","..","..",".."
,"September 17, 2022","..","..",".."
,"September 24, 2022","..","..",".."
,"October 1, 2022","..","..",".."
,"October 8, 2022","..","..",".."
,"October 15, 2022","..","..",".."
,"October 22, 2022","..","..",".."
,"October 29, 2022","..","..",".."
,"November 5, 2022","..","..",".."
,"November 12, 2022","..","..",".."
,"November 19, 2022","..","..",".."
,"November 26, 2022","..","..",".."
,"December 3, 2022","..","..",".."
,"December 10, 2022","..","..",".."
,"December 17, 2022","..","..",".."
,"December 24, 2022","..","..",".."
,"December 31, 2022","..","..",".."
"Saskatchewan, place of occurrence","January 9, 2010","195","105","90"
,"January 16, 2010","205","95","110"
,"January 23, 2010","185","90","95"
,"January 30, 2010","190","95","95"
,"February 6, 2010","185","90","95"
,"February 13, 2010","145","80","65"
,"February 20, 2010","150","80","70"
,"February 27, 2010","155","75","80"
,"March 6, 2010","185","105","80"
,"March 13, 2010","180","90","90"
,"March 20, 2010","175","90","85"
,"March 27, 2010","200","105","95"
,"April 3, 2010","200","115","85"
,"April 10, 2010","175","90","85"
,"April 17, 2010","185","105","80"
,"April 24, 2010","165","85","80"
,"May 1, 2010","160","80","80"
,"May 8, 2010","190","100","90"
,"May 15, 2010","165","80","85"
,"May 22, 2010","170","85","85"
,"May 29, 2010","145","80","65"
,"June 5, 2010","180","95","85"
,"June 12, 2010","150","75","75"
,"June 19, 2010","160","85","75"
,"June 26, 2010","175","90","85"
,"July 3, 2010","170","85","85"
,"July 10, 2010","185","90","95"
,"July 17, 2010","170","85","85"
,"July 24, 2010","175","90","85"
,"July 31, 2010","160","85","75"
,"August 7, 2010","160","80","80"
,"August 14, 2010","165","85","80"
,"August 21, 2010","155","75","80"
,"August 28, 2010","155","90","65"
,"September 4, 2010","170","85","85"
,"September 11, 2010","160","70","90"
,"September 18, 2010","165","70","95"
,"September 25, 2010","185","85","100"
,"October 2, 2010","195","95","100"
,"October 9, 2010","180","95","85"
,"October 16, 2010","165","75","90"
,"October 23, 2010","190","90","100"
,"October 30, 2010","180","85","95"
,"November 6, 2010","195","90","105"
,"November 13, 2010","190","90","100"
,"November 20, 2010","195","100","95"
,"November 27, 2010","175","95","80"
,"December 4, 2010","195","85","110"
,"December 11, 2010","180","85","95"
,"December 18, 2010","205","100","105"
,"December 25, 2010","195","95","100"
,"January 1, 2011","185","85","100"
,"January 8, 2011","190","85","105"
,"January 15, 2011","185","90","95"
,"January 22, 2011","205","100","105"
,"January 29, 2011","215","105","110"
,"February 5, 2011","170","80","90"
,"February 12, 2011","170","85","85"
,"February 19, 2011","185","85","100"
,"February 26, 2011","185","85","100"
,"March 5, 2011","175","85","90"
,"March 12, 2011","190","105","85"
,"March 19, 2011","195","90","105"
,"March 26, 2011","175","85","90"
,"April 2, 2011","185","100","85"
,"April 9, 2011","180","90","90"
,"April 16, 2011","175","80","95"
,"April 23, 2011","180","75","105"
,"April 30, 2011","175","90","85"
,"May 7, 2011","190","105","85"
,"May 14, 2011","165","85","80"
,"May 21, 2011","185","95","90"
,"May 28, 2011","140","75","65"
,"June 4, 2011","190","100","90"
,"June 11, 2011","180","95","85"
,"June 18, 2011","180","100","80"
,"June 25, 2011","165","80","85"
,"July 2, 2011","170","85","85"
,"July 9, 2011","165","90","75"
,"July 16, 2011","170","80","90"
,"July 23, 2011","175","90","85"
,"July 30, 2011","170","95","75"
,"August 6, 2011","170","85","85"
,"August 13, 2011","170","90","80"
,"August 20, 2011","165","85","80"
,"August 27, 2011","180","90","90"
,"September 3, 2011","165","75","90"
,"September 10, 2011","180","90","90"
,"September 17, 2011","160","75","85"
,"September 24, 2011","175","85","90"
,"October 1, 2011","200","105","95"
,"October 8, 2011","175","90","85"
,"October 15, 2011","165","80","85"
,"October 22, 2011","175","85","90"
,"October 29, 2011","205","100","105"
,"November 5, 2011","180","80","100"
,"November 12, 2011","185","100","85"
,"November 19, 2011","165","95","70"
,"November 26, 2011","150","85","65"
,"December 3, 2011","185","90","95"
,"December 10, 2011","180","95","85"
,"December 17, 2011","180","85","95"
,"December 24, 2011","175","80","95"
,"December 31, 2011","185","100","85"
,"January 7, 2012","180","85","95"
,"January 14, 2012","185","90","95"
,"January 21, 2012","185","95","90"
,"January 28, 2012","185","85","100"
,"February 4, 2012","185","90","95"
,"February 11, 2012","170","90","80"
,"February 18, 2012","180","100","80"
,"February 25, 2012","180","95","85"
,"March 3, 2012","185","95","90"
,"March 10, 2012","175","90","85"
,"March 17, 2012","170","85","85"
,"March 24, 2012","190","105","85"
,"March 31, 2012","180","80","100"
,"April 7, 2012","190","95","95"
,"April 14, 2012","170","85","85"
,"April 21, 2012","165","85","80"
,"April 28, 2012","145","70","75"
,"May 5, 2012","185","95","90"
,"May 12, 2012","180","85","95"
,"May 19, 2012","170","90","80"
,"May 26, 2012","145","85","60"
,"June 2, 2012","160","70","90"
,"June 9, 2012","175","90","85"
,"June 16, 2012","180","95","85"
,"June 23, 2012","150","75","75"
,"June 30, 2012","165","90","75"
,"July 7, 2012","165","95","70"
,"July 14, 2012","170","90","80"
,"July 21, 2012","170","90","80"
,"July 28, 2012","175","95","80"
,"August 4, 2012","160","95","65"
,"August 11, 2012","185","95","90"
,"August 18, 2012","185","100","85"
,"August 25, 2012","180","100","80"
,"September 1, 2012","175","90","85"
,"September 8, 2012","165","80","85"
,"September 15, 2012","170","85","85"
,"September 22, 2012","190","100","90"
,"September 29, 2012","180","85","95"
,"October 6, 2012","175","85","90"
,"October 13, 2012","165","75","90"
,"October 20, 2012","180","90","90"
,"October 27, 2012","185","90","95"
,"November 3, 2012","160","75","85"
,"November 10, 2012","205","105","100"
,"November 17, 2012","165","85","80"
,"November 24, 2012","175","95","80"
,"December 1, 2012","190","105","85"
,"December 8, 2012","205","110","95"
,"December 15, 2012","205","105","100"
,"December 22, 2012","160","80","80"
,"December 29, 2012","205","105","100"
,"January 5, 2013","205","110","95"
,"January 12, 2013","220","105","115"
,"January 19, 2013","190","105","85"
,"January 26, 2013","200","105","95"
,"February 2, 2013","215","110","105"
,"February 9, 2013","190","85","105"
,"February 16, 2013","180","90","90"
,"February 23, 2013","175","85","90"
,"March 2, 2013","215","90","125"
,"March 9, 2013","195","95","100"
,"March 16, 2013","200","90","110"
,"March 23, 2013","180","95","85"
,"March 30, 2013","175","95","80"
,"April 6, 2013","195","115","80"
,"April 13, 2013","185","100","85"
,"April 20, 2013","180","85","95"
,"April 27, 2013","165","85","80"
,"May 4, 2013","160","70","90"
,"May 11, 2013","160","85","75"
,"May 18, 2013","195","95","100"
,"May 25, 2013","170","90","80"
,"June 1, 2013","140","75","65"
,"June 8, 2013","130","65","65"
,"June 15, 2013","140","70","70"
,"June 22, 2013","185","95","90"
,"June 29, 2013","180","85","95"
,"July 6, 2013","170","90","80"
,"July 13, 2013","185","90","95"
,"July 20, 2013","165","70","95"
,"July 27, 2013","165","85","80"
,"August 3, 2013","155","95","60"
,"August 10, 2013","155","85","70"
,"August 17, 2013","170","85","85"
,"August 24, 2013","175","95","80"
,"August 31, 2013","190","95","95"
,"September 7, 2013","170","85","85"
,"September 14, 2013","155","75","80"
,"September 21, 2013","175","80","95"
,"September 28, 2013","195","100","95"
,"October 5, 2013","190","90","100"
,"October 12, 2013","185","90","95"
,"October 19, 2013","180","85","95"
,"October 26, 2013","165","70","95"
,"November 2, 2013","205","100","105"
,"November 9, 2013","190","95","95"
,"November 16, 2013","190","95","95"
,"November 23, 2013","195","110","85"
,"November 30, 2013","180","90","90"
,"December 7, 2013","195","100","95"
,"December 14, 2013","180","105","75"
,"December 21, 2013","180","90","90"
,"December 28, 2013","195","90","105"
,"January 4, 2014","215","120","95"
,"January 11, 2014","230","120","110"
,"January 18, 2014","170","85","85"
,"January 25, 2014","195","100","95"
,"February 1, 2014","165","80","85"
,"February 8, 2014","175","100","75"
,"February 15, 2014","215","105","110"
,"February 22, 2014","170","90","80"
,"March 1, 2014","175","75","100"
,"March 8, 2014","175","80","95"
,"March 15, 2014","175","90","85"
,"March 22, 2014","180","95","85"
,"March 29, 2014","195","100","95"
,"April 5, 2014","170","80","90"
,"April 12, 2014","185","80","105"
,"April 19, 2014","165","85","80"
,"April 26, 2014","175","95","80"
,"May 3, 2014","180","90","90"
,"May 10, 2014","175","100","75"
,"May 17, 2014","220","115","105"
,"May 24, 2014","190","80","110"
,"May 31, 2014","170","85","85"
,"June 7, 2014","170","100","70"
,"June 14, 2014","180","85","95"
,"June 21, 2014","180","100","80"
,"June 28, 2014","180","85","95"
,"July 5, 2014","175","90","85"
,"July 12, 2014","160","90","70"
,"July 19, 2014","150","75","75"
,"July 26, 2014","165","80","85"
,"August 2, 2014","160","80","80"
,"August 9, 2014","165","85","80"
,"August 16, 2014","160","70","90"
,"August 23, 2014","180","90","90"
,"August 30, 2014","185","100","85"
,"September 6, 2014","165","65","100"
,"September 13, 2014","185","85","100"
,"September 20, 2014","175","100","75"
,"September 27, 2014","155","75","80"
,"October 4, 2014","165","90","75"
,"October 11, 2014","205","110","95"
,"October 18, 2014","180","85","95"
,"October 25, 2014","190","100","90"
,"November 1, 2014","175","95","80"
,"November 8, 2014","160","75","85"
,"November 15, 2014","190","100","90"
,"November 22, 2014","190","105","85"
,"November 29, 2014","190","105","85"
,"December 6, 2014","195","95","100"
,"December 13, 2014","160","85","75"
,"December 20, 2014","195","90","105"
,"December 27, 2014","215","110","105"
,"January 3, 2015","250","120","130"
,"January 10, 2015","215","115","100"
,"January 17, 2015","235","115","120"
,"January 24, 2015","215","95","120"
,"January 31, 2015","185","95","90"
,"February 7, 2015","180","80","100"
,"February 14, 2015","205","115","90"
,"February 21, 2015","180","95","85"
,"February 28, 2015","210","115","95"
,"March 7, 2015","215","115","100"
,"March 14, 2015","175","95","80"
,"March 21, 2015","175","90","85"
,"March 28, 2015","180","95","85"
,"April 4, 2015","160","90","70"
,"April 11, 2015","170","85","85"
,"April 18, 2015","170","75","95"
,"April 25, 2015","170","90","80"
,"May 2, 2015","185","100","85"
,"May 9, 2015","190","100","90"
,"May 16, 2015","170","90","80"
,"May 23, 2015","170","90","80"
,"May 30, 2015","210","110","100"
,"June 6, 2015","175","85","90"
,"June 13, 2015","155","75","80"
,"June 20, 2015","160","90","70"
,"June 27, 2015","150","75","75"
,"July 4, 2015","165","90","75"
,"July 11, 2015","175","90","85"
,"July 18, 2015","155","75","80"
,"July 25, 2015","185","105","80"
,"August 1, 2015","180","100","80"
,"August 8, 2015","150","75","75"
,"August 15, 2015","180","95","85"
,"August 22, 2015","160","80","80"
,"August 29, 2015","180","95","85"
,"September 5, 2015","180","90","90"
,"September 12, 2015","155","80","75"
,"September 19, 2015","150","70","80"
,"September 26, 2015","175","90","85"
,"October 3, 2015","175","105","70"
,"October 10, 2015","185","90","95"
,"October 17, 2015","195","100","95"
,"October 24, 2015","170","80","90"
,"October 31, 2015","210","110","100"
,"November 7, 2015","165","80","85"
,"November 14, 2015","205","100","105"
,"November 21, 2015","180","95","85"
,"November 28, 2015","155","85","70"
,"December 5, 2015","175","95","80"
,"December 12, 2015","190","85","105"
,"December 19, 2015","200","95","105"
,"December 26, 2015","175","100","75"
,"January 2, 2016","185","85","100"
,"January 9, 2016","210","110","100"
,"January 16, 2016","180","90","90"
,"January 23, 2016","195","105","90"
,"January 30, 2016","190","90","100"
,"February 6, 2016","185","90","95"
,"February 13, 2016","165","90","75"
,"February 20, 2016","190","100","90"
,"February 27, 2016","205","105","100"
,"March 5, 2016","190","90","100"
,"March 12, 2016","185","90","95"
,"March 19, 2016","200","100","100"
,"March 26, 2016","195","110","85"
,"April 2, 2016","205","115","90"
,"April 9, 2016","180","95","85"
,"April 16, 2016","200","100","100"
,"April 23, 2016","160","85","75"
,"April 30, 2016","175","80","95"
,"May 7, 2016","210","115","95"
,"May 14, 2016","170","80","90"
,"May 21, 2016","170","95","75"
,"May 28, 2016","165","85","80"
